kod_u	nazwa_u	producent_u	typ_u
9441	OnePlus3T	OnePlus	Phone
15457	BLADE A6 MAX	ZTE	Phone
8595	Moto G4 Play	Motorola	Phone
9517	CPH1851	Oppo	Phone
13389	5049W	TCT (Alcatel)	Phone
15566	GrayJoy	ZTE	Phone
12546	Xperia X Performance	Sony	Phone
2043	VIA_A1_1	Casper	Phone
13995	UMAX	Umax	Phone
4022	Gigaset GS270	Gigaset	Phone
9265	Nokia 3	Nokia	Phone
5096	nova 3	Huawei	Phone
15152	MIX 3	Xiaomi	Phone
5985	A32F	Itel	Phone
7343	LG Q7+	LGE	Phone
11543	Galaxy Note3	Samsung	Phone
4182	Pixel 3	Google	Phone
12748	Xperia Z2	Sony	Phone
2489	3632A-mpcs	Coolpad	Phone
5938	it1513	Itel	Phone
11407	Galaxy A6	Samsung	Phone
12768	Xperia XZ3	Sony	Phone
5241	Ultra Live II	Hyundai	Phone
14876	W_P200CM	Wiko	Phone
11652	Galaxy S7	Samsung	Phone
9442	OnePlus5	OnePlus	Phone
11027	Galaxy S6 Edge	Samsung	Phone
11806	Galaxy C5 Pro	Samsung	Phone
11825	Galaxy Note2	Samsung	Phone
11587	Galaxy Note5	Samsung	Phone
6883	Lenovo TAB4 8 Plus	Lenovo	Tablet
13440	TETRA	TCT (Alcatel)	Phone
12009	Galaxy S5 Active	Samsung	Phone
9255	Nokia 5	Nokia	Phone
15160	Redmi 4 Pro	Xiaomi	Phone
12642	Xperia Z2 Tablet	Sony	Tablet
9351	NUU A3 (TC)	Nuu	Phone
12015	Galaxy S8+	Samsung	Phone
11910	Galaxy J3 Prime	Samsung	Phone
11994	Galaxy A7(2016)	Samsung	Phone
11083	Galaxy J1 Ace	Samsung	Phone
991	ZenFone 2 Laser (ZE500KL)	Asus	Phone
7437	LG K8	LGE	Phone
11646	Galaxy S7	Samsung	Phone
9247	Nokia 8	Nokia	Phone
11536	Galaxy Tab4 10.1	Samsung	Tablet
4885	HUAWEI MediaPad M5 8.4	Huawei	Phone
9231	Nokia 6	Nokia	Phone
15184	Redmi Pro	Xiaomi	Phone
8602	Moto X (4)	Motorola	Phone
11169	Galaxy S6	Samsung	Phone
8633	Moto G (3rd Gen)	Motorola	Phone
12057	Galaxy Tab A (2016) with S Pen	Samsung	Tablet
11091	Galaxy J1	Samsung	Phone
2255	Hi9Pro	Chuwi	Tablet
4898	M5	Huawei	Tablet
11484	Galaxy J4+	Samsung	Phone
7191	LG Premier Pro	LGE	Phone
11342	Galaxy J3(2016)	Samsung	Phone
10683	10 Viking Pro	RCA	Tablet
7199	V20	LGE	Phone
10790	Redmi 6	Redmi	Phone
9613	CPH1903	Oppo	Phone
6874	X3a40	Lenovo	Phone
4909	Honor 8	Huawei	Phone
4936	Huawei Mate 20 X	Huawei	Phone
11512	Galaxy S9+	Samsung	Phone
4881	Mate 9	Huawei	Phone
11305	Galaxy S7 Edge	Samsung	Phone
4700	Desire 10 lifestyle	HTC	Phone
11277	Galaxy J7 V	Samsung	Phone
11497	Galaxy Tab A	Samsung	Tablet
8131	Canvas 5 Lite	Micromax	Phone
11513	Galaxy J2	Samsung	Phone
12743	Xperia XZ1	Sony	Phone
11632	Galaxy S9	Samsung	Phone
4999	nova 3i	Huawei	Phone
11459	Galaxy Tab4 7.0	Samsung	Tablet
13482	Fire	Tech 4u	Phone
863	ZenFone 2 (ZE551ML)	Asus	Phone
8600	Moto G with 4G LTE (1st Gen)	Motorola	Phone
11302	Galaxy S7 Edge	Samsung	Phone
10080	I4G	Plaisio	Phone
11920	Galaxy S6 Edge+	Samsung	Phone
9642	A3s	Oppo	Phone
15780	ZTE ZFive C LTE	ZTE	Phone
11098	Galaxy Note 10.1 2014 Edition	Samsung	Tablet
7058	Lenovo TAB 10	Lenovo	Tablet
4667	Chromebook x360 11 G1 EE	HP	PC
11586	Galaxy Note5	Samsung	Phone
866	ZenFone Max Pro M2 (ZB631KL) (WW) / Max Pro M2 (ZB630KL) (IN)	Asus	Phone
12525	Xperia XA1 Ultra	Sony	Phone
11105	Galaxy J3 Emerge	Samsung	Phone
124	A3-A20	Acer	Tablet
7330	LG K4/K7 (2017)	LGE	Phone
4906	Y635-L03	Huawei	Phone
8561	Moto G (5S)	Motorola	Phone
6854	Lenovo TAB 7 Essential	Lenovo	Tablet
4492	Sero 8	Hisense	Tablet
12726	Xperia XZ	Sony	Phone
4823	One (M8)	HTC	Phone
4844	U11	HTC	Phone
11774	Galaxy On5	Samsung	Phone
8667	moto g(6) plus	Motorola	Phone
15418	Zmax Pro	ZTE	Phone
15142	Redmi Note 3	Xiaomi	Phone
9640	R9s Plus	Oppo	Phone
1000	ZenPad 10 (Z300M)	Asus	Tablet
15171	Redmi 3S	Xiaomi	Phone
1294	B9505	Bitel	Phone
10662	Voyager	RCA	Tablet
11702	Galaxy S4 Mini	Samsung	Phone
11998	Galaxy A5(2016)	Samsung	Phone
11945	Galaxy Tab A (2017)	Samsung	Tablet
1606	BLU Grand M3	Blu	Phone
13321	PIXI4 (3.5)	TCT (Alcatel)	Phone
10658	Phone 2	Razer	Phone
1358	A7PRO	Blackview	Phone
7104	YOGA Tab 3 PRO 10	Lenovo	Phone
11109	Galaxy A5(2017)	Samsung	Phone
1570	Vivo 8	Blu	Phone
11386	Galaxy A3(2017)	Samsung	Phone
6787	A6600	Lenovo	Phone
13401	ALCATEL ONETOUCH POP 3 (5)	TCT (Alcatel)	Phone
11033	Galaxy J1(2016)	Samsung	Phone
877	Nexus 7 (2013)	Asus	Tablet
13267	ALCATEL 3C	TCT (Alcatel)	Phone
11388	Galaxy Note 8.0	Samsung	Tablet
5039	Mate 10	Huawei	Phone
9532	R7005	Oppo	Phone
7443	LG K10 (2017)	LGE	Phone
7362	L70	LGE	Phone
11606	Galaxy Tab S4	Samsung	Tablet
5062	P8 lite 2017	Huawei	Phone
9260	Nokia 8.1	Nokia	Phone
15168	HM 1SC	Xiaomi	Phone
4921	P9 lite	Huawei	Phone
14427	vivo 1724	Vivo	Phone
7338	LG K8 V	LGE	Phone
11405	Galaxy A6	Samsung	Phone
805	ZenFone Max Pro M1 (ZB602KL) (WW) / Max Pro M1 (ZB601KL) (IN)	Asus	Phone
14468	vivo 1804	Vivo	Phone
8623	Moto G (5th Gen)	Motorola	Phone
4988	MediaPad M3 Lite 10	Huawei	Tablet
8092	Micromax Bharat 2 Plus	Micromax	Phone
4952	MediaPad T2 10.0 pro	Huawei	Tablet
11061	Galaxy S4	Samsung	Phone
11106	Galaxy A8(2018)	Samsung	Phone
5026	CHM-U01	Huawei	Phone
14501	1609T	Vivo	Phone
4203	Pixel 2	Google	Phone
5126	6X	Huawei	Phone
15611	Z717VL	ZTE	Phone
14142	Ellipsis 7 (QMV7B)	Verizon Wireless	Tablet
11855	Galaxy J7(2016)	Samsung	Phone
12788	Xperia X Compact	Sony	Phone
5132	HUAWEI Y3 2017	Huawei	Phone
7291	LG Stylus3	LGE	Phone
11080	Galaxy Tab A 8	Samsung	Tablet
11130	Galaxy Grand Neo Plus	Samsung	Phone
6776	Le Max2	Leeco	Phone
6383	K1 Trio	KOOLNEE	Phone
7074	Lenovo TAB4 10	Lenovo	Tablet
13259	ALCATEL PIXI 4 (5)	TCT (Alcatel)	Phone
6827	YOGA Tab 3 10	Lenovo	Tablet
11499	Galaxy Tab A	Samsung	Tablet
5012	Mate 10 lite	Huawei	Phone
15181	Mi A1	Xiaomi	Phone
8637	DROID RAZR M	Motorola	Phone
10968	Galaxy J5	Samsung	Phone
6991	VIBE K6 Note	Lenovo	Phone
15441	Majesty Pro LTE	ZTE	Phone
15129	MI MAX 3	Xiaomi	Phone
5120	Y6II	Huawei	Phone
11934	Galaxy Tab A (2016)	Samsung	Tablet
11634	Galaxy S9	Samsung	Phone
12663	Xperia E5	Sony	Phone
11546	Galaxy Note3	Samsung	Phone
11020	Galaxy S6 Edge	Samsung	Phone
5408	A20	IkuMobile	Phone
5091	HUWEI MediaPad T3	Huawei	Phone
6939	A5500-F	Lenovo	Tablet
9720	Wonder	Orbic	Phone
1888	BQru-7082	BQru	Phone
4942	Y541-U02	Huawei	Phone
12603	Xperia Z	Sony	Phone
10915	Galaxy Grand Prime	Samsung	Phone
4983	Mate 20	Huawei	Phone
11013	Galaxy J5 Prime	Samsung	Phone
8669	moto g(6) plus	Motorola	Phone
1018	ZenPad Z10	Asus	Tablet
1307	KEYone	BlackBerry	Phone
10970	Galaxy J5	Samsung	Phone
11590	Galaxy Note5	Samsung	Phone
11640	Galaxy S7	Samsung	Phone
8658	motorola one power	Motorola	Phone
527	L50	ANS	Phone
11224	Galaxy A9 (2018)	Samsung	Phone
4944	MediaPad	Huawei	Tablet
9232	Nokia 6	Nokia	Phone
7753	iQGW516	Making Life Simple	Phone
6848	Z5	Lenovo	Phone
11659	Galaxy Tab A 8.0	Samsung	Tablet
6925	Lenovo K8 Plus	Lenovo	Phone
4851	One M9	HTC	Phone
9361	SHIELD Tablet	NVIDIA	Tablet
807	ZenFone Max Pro M1 (ZB602KL) (WW) / Max Pro M1 (ZB601KL) (IN)	Asus	Phone
5061	Honor 8X	Huawei	Phone
7237	LG Spirit 4G LTE	LGE	Phone
6843	Lenovo K8 Note	Lenovo	Phone
12016	Galaxy S8+	Samsung	Phone
3008	DIGMA HIT Q401 3G HT4039PG	Digma	Phone
10386	PMT3101_4G	Prestigio	Tablet
15577	K88	ZTE	Tablet
932	Transformer Pad (TF103C)	Asus	Tablet
12610	Xperia XA1	Sony	Phone
9492	CPH1729	Oppo	Phone
7279	LG K4	LGE	Phone
4939	P9 Plus	Huawei	Phone
11158	Galaxy S10	Samsung	Phone
7022	Lenovo YOGA Tab 3 Plus	Lenovo	Tablet
11604	Galaxy Tab S4	Samsung	Tablet
14104	s8	Vankyo	Tablet
7216	LG G3	LGE	Phone
15114	Mi A2 Lite	Xiaomi	Phone
3455	PH-1	Essential Products	Phone
135	Chromebook R11 (C738T)	Acer	PC
7195	F70	LGE	Phone
9584	CPH1707	Oppo	Phone
7442	LG K10 (2017)	LGE	Phone
11026	Galaxy S6 Edge	Samsung	Phone
14894	LENNY3	Wiko	Phone
7353	LG G6	LGE	Phone
11901	Galaxy Note Pro 12.2	Samsung	Tablet
14530	vivo 1723	Vivo	Phone
5119	MediaPad T3 7	Huawei	Phone
15088	JOY10_LTE	X-TIGI	Tablet
15195	Redmi  S2	Xiaomi	Phone
